respondent_id,age,gender,region,mealkit_open_5,food_p1,food_p2,food_p3,food_explorer,mealkit_usage,concept,appeal_5,purchase_intent_5,uniqueness_5,relevance_5,credibility_5,value_5,understanding_5,premium_value_5,wt_final,like_flexibility,like_ease,like_broad_choice,like_familiar,like_new_flavours,like_chef,like_quality,like_provenance,like_premium,like_none,dislike_expensive,dislike_complicated,dislike_not_different,dislike_too_adventurous,dislike_limited_choice,dislike_unclear_benefit,dislike_low_frequency,dislike_none
SBT002_0001,3.0,2.0,2.0,4.0,4.0,5.0,3.0,1.0,2.0,3.0,3.0,3.0,5.0,2.0,4.0,1.0,5.0,4.0,0.7780197910465247,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
SBT002_0002,1.0,2.0,6.0,5.0,5.0,4.0,4.0,1.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,0.5356918196680186,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SBT002_0003,2.0,1.0,6.0,5.0,4.0,4.0,5.0,1.0,1.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,5.0,3.0,0.5961228681880235,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SBT002_0004,3.0,2.0,2.0,3.0,2.0,1.0,4.0,0.0,4.0,3.0,3.0,1.0,3.0,3.0,4.0,4.0,5.0,2.0,1.2421854132892485,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
SBT002_0005,1.0,1.0,8.0,5.0,3.0,2.0,4.0,0.0,1.0,2.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,0.8425912209459191,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
SBT002_0006,4.0,1.0,1.0,5.0,3.0,3.0,2.0,0.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0,2.0,,1.400957390229541,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
SBT002_0007,4.0,1.0,9.0,3.0,4.0,3.0,4.0,0.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,1.3551769868127856,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
SBT002_0008,3.0,2.0,5.0,5.0,5.0,3.0,3.0,0.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,5.0,1.1315490503815038,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
SBT002_0009,2.0,1.0,6.0,4.0,5.0,5.0,4.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,5.0,1.0,5.0,3.0,0.5970946951827908,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
SBT002_0010,1.0,2.0,2.0,4.0,2.0,1.0,2.0,0.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,2.0,,0.771244035890061,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SBT002_0011,1.0,1.0,7.0,4.0,2.0,3.0,1.0,0.0,1.0,2.0,3.0,2.0,2.0,2.0,3.0,5.0,3.0,4.0,0.8220570194582697,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
