respondent_id,age,gender,region,mealkit_open_5,food_p1,food_p2,food_p3,food_explorer,mealkit_usage,concept,appeal_5,purchase_intent_5,uniqueness_5,relevance_5,credibility_5,value_5,understanding_5,premium_value_5,wt_final,like_flexibility,like_ease,like_broad_choice,like_familiar,like_new_flavours,like_chef,like_quality,like_provenance,like_premium,like_none,dislike_expensive,dislike_complicated,dislike_not_different,dislike_too_adventurous,dislike_limited_choice,dislike_unclear_benefit,dislike_low_frequency,dislike_none
SBT002_0001,35-44,Man,South East,4,4,5,3,1,Previous,Simple,3,3,5,2,4,1,5,4.0,0.7780197910465247,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0
SBT002_0002,18-24,Man,North,5,5,4,4,1,Occasional,Plus,3,3,4,4,3,4,3,4.0,0.5356918196680186,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0
SBT002_0003,25-34,Woman,North,5,4,4,5,1,Never,Simple,3,5,4,3,4,4,5,3.0,0.5961228681880235,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SBT002_0004,35-44,Man,South East,3,2,1,4,0,Regular,Simple,3,1,3,3,4,4,5,2.0,1.2421854132892485,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
SBT002_0005,18-24,Woman,Wales,5,3,2,4,0,Never,Plus,5,5,5,3,5,5,4,4.0,0.8425912209459191,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
SBT002_0006,45-54,Woman,London,5,3,3,2,0,Occasional,Plus,3,2,3,3,1,4,2,,1.4009573902295407,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0
SBT002_0007,45-54,Woman,Northern Ireland,3,4,3,4,0,Occasional,Plus,2,3,3,3,2,4,3,3.0,1.3551769868127856,0,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0
SBT002_0008,35-44,Man,Midlands,5,5,3,3,0,Regular,Plus,3,4,3,2,3,4,3,5.0,1.1315490503815038,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0
SBT002_0009,25-34,Woman,North,4,5,5,4,1,Never,Simple,3,3,1,3,5,1,5,3.0,0.5970946951827908,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
SBT002_0010,18-24,Man,South East,4,2,1,2,0,Regular,Plus,3,4,3,4,3,4,2,,0.771244035890061,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
SBT002_0011,18-24,Woman,Scotland,4,2,3,1,0,Never,Plus,3,2,2,2,3,5,3,4.0,0.8220570194582697,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
SBT002_0012,45-54,Woman,Wales,4,3,2,4,0,Never,Flex,3,3,4,2,1,3,5,2.0,1.404997941847172,0,0,0,0,0,0,1,0,1,0,1,0,1,1,1,0,1,0
SBT002_0013,35-44,Man,Midlands,3,4,4,2,0,Previous,Simple,3,2,3,1,5,2,4,3.0,1.1457705260270445,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0
SBT002_0014,18-24,Man,South West,3,5,5,4,1,Regular,Simple,4,3,3,3,3,4,5,3.0,0.5265218245199348,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0
SBT002_0015,35-44,Man,Wales,3,1,4,2,0,Occasional,Simple,3,4,2,1,5,5,4,3.0,1.1675051075913374,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
SBT002_0016,55-64,Man,Midlands,3,2,1,1,0,Regular,Plus,3,4,4,3,2,4,1,,1.3614691767053986,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0
SBT002_0017,45-54,Woman,Midlands,4,5,4,5,1,Previous,Plus,3,2,5,3,3,4,5,5.0,0.8657093200785333,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0
SBT002_0018,18-24,Woman,Northern Ireland,5,4,3,2,0,Occasional,Plus,1,2,3,4,1,1,1,,0.9038815946379348,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0
SBT002_0019,25-34,Woman,North,5,2,1,2,0,Never,Flex,2,2,3,3,2,3,4,2.0,0.8846863362891674,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
SBT002_0020,18-24,Man,South East,4,3,3,4,0,Never,Flex,4,2,4,3,2,2,3,4.0,0.8345363476578006,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1
SBT002_0021,18-24,Man,London,3,3,1,4,0,Regular,Simple,3,2,3,4,3,4,4,2.0,0.8242984477265757,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0
SBT002_0022,35-44,Woman,South East,4,5,4,4,1,Never,Simple,4,5,4,4,4,4,5,5.0,0.7582715875868428,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
SBT002_0023,55-64,Woman,North,3,3,3,2,0,Never,Plus,5,5,5,5,4,5,4,5.0,1.3344551577112034,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0
SBT002_0024,35-44,Woman,South West,3,3,4,4,0,Previous,Flex,2,1,2,3,2,3,5,2.0,1.2423135375706675,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
