respondent_id,tenure_band,plan_tier,legacy_plan,nps_0_10,overall_satisfaction_5,renewal_intent_5,reliability_5,value_5,ease_5,trust_5,outage_90d,support_contact_90d,support_quality_5,resolved_first_contact,wt_final,region,household_type,outage_severity_5,support_channel,formal_complaint_90d
SBT003_0001,4.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,,,1.1537784193576548,1.0,2.0,5.0,,0.0
SBT003_0002,1.0,2.0,0.0,7.0,2.0,3.0,3.0,4.0,3.0,3.0,0.0,0.0,,,1.2233945364350016,1.0,2.0,,,0.0
SBT003_0003,4.0,2.0,1.0,0.0,1.0,2.0,1.0,4.0,1.0,1.0,0.0,0.0,,,1.1793624593134335,1.0,3.0,,,0.0
SBT003_0004,4.0,2.0,0.0,9.0,3.0,3.0,4.0,4.0,4.0,3.0,0.0,0.0,,,1.2198056712143883,1.0,2.0,,,0.0
SBT003_0005,4.0,2.0,0.0,8.0,3.0,2.0,4.0,2.0,2.0,3.0,0.0,0.0,,,1.182771016349327,1.0,3.0,,,0.0
SBT003_0006,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,,,1.0662233985446807,3.0,1.0,,,0.0
SBT003_0007,4.0,2.0,1.0,5.0,3.0,4.0,4.0,2.0,2.0,4.0,1.0,1.0,5.0,1.0,0.6923087964179544,3.0,3.0,2.0,1.0,0.0
SBT003_0008,2.0,2.0,0.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,,,1.2541535198233722,1.0,1.0,,,0.0
SBT003_0009,4.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,,,1.2431102539272716,1.0,3.0,,,0.0
SBT003_0010,1.0,1.0,0.0,6.0,3.0,2.0,2.0,3.0,2.0,2.0,0.0,0.0,,,1.3284091955385449,1.0,2.0,,,0.0
SBT003_0011,1.0,1.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6812790378099168,1.0,3.0,,1.0,0.0
SBT003_0012,4.0,2.0,1.0,8.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,,,1.274200537487289,1.0,2.0,,,0.0
SBT003_0013,3.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,,,1.3668774440309888,1.0,2.0,,,0.0
SBT003_0014,1.0,1.0,0.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,0.0,0.0,,,1.16400939446317,1.0,2.0,,,0.0
SBT003_0015,4.0,1.0,0.0,4.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,4.0,0.0,0.6244506594596652,1.0,2.0,5.0,1.0,1.0
SBT003_0016,2.0,2.0,0.0,8.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,0.0,,,1.2053170053989108,1.0,1.0,,,0.0
SBT003_0017,1.0,2.0,0.0,9.0,3.0,3.0,5.0,4.0,2.0,2.0,0.0,1.0,3.0,1.0,0.768419511213659,3.0,3.0,,1.0,0.0
SBT003_0018,2.0,1.0,0.0,5.0,3.0,3.0,3.0,3.0,2.0,3.0,0.0,0.0,,,1.2945283527497071,1.0,3.0,,,0.0
SBT003_0019,4.0,2.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,1.0,0.0,,,1.1511581328568574,1.0,1.0,4.0,,0.0
SBT003_0020,1.0,1.0,0.0,9.0,3.0,4.0,4.0,4.0,2.0,2.0,1.0,0.0,,,1.2978453227693454,1.0,2.0,3.0,,0.0
SBT003_0021,4.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.6463703296305446,1.0,1.0,,1.0,0.0
SBT003_0022,3.0,2.0,0.0,9.0,5.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0,,,1.1802399225713582,1.0,1.0,,,0.0
SBT003_0023,3.0,2.0,0.0,6.0,4.0,2.0,3.0,4.0,4.0,3.0,0.0,1.0,3.0,1.0,0.6120857371696015,1.0,2.0,,1.0,0.0
SBT003_0024,1.0,1.0,0.0,7.0,4.0,3.0,5.0,5.0,2.0,3.0,0.0,1.0,4.0,1.0,0.7045972095238922,1.0,2.0,,2.0,0.0
SBT003_0025,4.0,2.0,0.0,8.0,3.0,4.0,4.0,4.0,2.0,3.0,0.0,0.0,,,1.1258797901614177,1.0,2.0,,,0.0
SBT003_0026,2.0,3.0,0.0,6.0,4.0,4.0,3.0,3.0,3.0,4.0,1.0,1.0,5.0,1.0,0.5002412105296115,4.0,3.0,3.0,1.0,0.0
SBT003_0027,4.0,2.0,1.0,7.0,5.0,5.0,5.0,2.0,5.0,5.0,1.0,1.0,5.0,1.0,0.6014154104022181,1.0,1.0,3.0,2.0,0.0
SBT003_0028,2.0,2.0,0.0,8.0,5.0,4.0,4.0,4.0,2.0,4.0,0.0,0.0,,,1.2125430103816806,1.0,2.0,,,0.0
SBT003_0029,2.0,2.0,1.0,6.0,3.0,4.0,3.0,4.0,2.0,4.0,0.0,0.0,,,1.261352835200522,1.0,2.0,,,1.0
SBT003_0030,1.0,3.0,0.0,5.0,3.0,3.0,4.0,4.0,3.0,4.0,1.0,0.0,,,0.8232664669891939,4.0,1.0,3.0,,0.0
SBT003_0031,2.0,2.0,0.0,6.0,2.0,3.0,3.0,2.0,2.0,2.0,0.0,0.0,,,1.1786909645624442,1.0,2.0,,,0.0
SBT003_0032,4.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.4573130150869128,1.0,3.0,5.0,1.0,1.0
SBT003_0033,3.0,2.0,0.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,,,1.1485223055233011,1.0,3.0,,,0.0
SBT003_0034,3.0,3.0,0.0,8.0,5.0,4.0,4.0,5.0,3.0,4.0,0.0,0.0,,,0.8683646895799129,1.0,1.0,,,0.0
SBT003_0035,3.0,2.0,0.0,7.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,3.0,0.0,0.7360104203217602,1.0,3.0,5.0,1.0,0.0
SBT003_0036,2.0,1.0,0.0,4.0,3.0,5.0,2.0,2.0,3.0,4.0,1.0,0.0,,,1.3521412873774592,1.0,3.0,5.0,,0.0
SBT003_0037,2.0,1.0,0.0,6.0,4.0,4.0,3.0,4.0,4.0,4.0,0.0,0.0,,,1.2788000476642811,1.0,2.0,,,0.0
SBT003_0038,3.0,2.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,,,1.0258139161829851,1.0,1.0,,,0.0
SBT003_0039,1.0,2.0,0.0,8.0,4.0,3.0,4.0,5.0,4.0,4.0,0.0,0.0,,,1.2178257882760322,1.0,2.0,,,0.0
SBT003_0040,3.0,1.0,0.0,7.0,3.0,3.0,4.0,3.0,4.0,4.0,0.0,0.0,,,1.2716418206242208,2.0,2.0,,,0.0
SBT003_0041,1.0,2.0,0.0,8.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,0.0,,,1.1449959301732535,1.0,2.0,,,0.0
SBT003_0042,4.0,2.0,0.0,7.0,5.0,3.0,4.0,5.0,4.0,4.0,1.0,0.0,,,1.2628814126593404,4.0,3.0,3.0,,0.0
SBT003_0043,4.0,3.0,1.0,9.0,5.0,5.0,5.0,5.0,4.0,5.0,1.0,0.0,,,0.816668961084554,1.0,3.0,3.0,,1.0
SBT003_0044,3.0,2.0,0.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,0.0,0.0,,,1.226768873966519,1.0,3.0,,,0.0
SBT003_0045,2.0,2.0,0.0,3.0,2.0,2.0,2.0,1.0,4.0,1.0,0.0,0.0,,,1.083717219601516,3.0,3.0,,,0.0
SBT003_0046,3.0,1.0,0.0,8.0,4.0,2.0,4.0,3.0,1.0,3.0,0.0,0.0,,,1.2830125920714892,1.0,3.0,,,0.0
SBT003_0047,2.0,1.0,0.0,5.0,1.0,3.0,2.0,4.0,2.0,3.0,0.0,0.0,,,1.1274550969517998,1.0,2.0,,,0.0
SBT003_0048,1.0,1.0,0.0,9.0,5.0,5.0,5.0,4.0,3.0,4.0,0.0,1.0,5.0,1.0,0.6924157910785734,3.0,1.0,,2.0,0.0
SBT003_0049,4.0,3.0,0.0,6.0,3.0,4.0,3.0,2.0,4.0,3.0,0.0,0.0,,,0.8298572824319308,2.0,2.0,,,0.0
SBT003_0050,3.0,2.0,1.0,6.0,4.0,4.0,4.0,5.0,5.0,4.0,0.0,0.0,,,1.1945056004372323,1.0,1.0,,,0.0
SBT003_0051,4.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,1.0,3.0,0.0,0.6285203006262582,1.0,3.0,3.0,1.0,0.0
SBT003_0052,2.0,2.0,0.0,5.0,3.0,1.0,3.0,5.0,3.0,2.0,0.0,0.0,,,1.104838424778032,1.0,2.0,,,0.0
SBT003_0053,2.0,2.0,0.0,8.0,5.0,4.0,4.0,5.0,4.0,5.0,0.0,0.0,,,1.2053570667305542,4.0,2.0,,,0.0
SBT003_0054,3.0,2.0,0.0,4.0,2.0,1.0,3.0,3.0,3.0,2.0,0.0,0.0,,,1.2153440119673449,1.0,2.0,,,0.0
SBT003_0055,4.0,3.0,1.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.4493763667747058,1.0,1.0,5.0,1.0,0.0
SBT003_0056,1.0,3.0,0.0,6.0,3.0,1.0,2.0,3.0,3.0,4.0,0.0,1.0,4.0,1.0,0.4802321629984079,1.0,3.0,,2.0,0.0
SBT003_0057,4.0,2.0,0.0,8.0,5.0,5.0,4.0,5.0,3.0,5.0,0.0,0.0,,,1.115571237205772,1.0,3.0,,,0.0
SBT003_0058,3.0,1.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,,1.257020836497157,1.0,2.0,,,0.0
SBT003_0059,2.0,1.0,0.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,0.0,,,1.2442409192881896,1.0,1.0,4.0,,1.0
SBT003_0060,3.0,2.0,0.0,5.0,3.0,1.0,3.0,4.0,3.0,2.0,1.0,0.0,,,1.1728667583678642,4.0,1.0,4.0,,0.0
SBT003_0061,2.0,1.0,0.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,0.0,0.0,,,1.2614028388739045,1.0,2.0,,,0.0
SBT003_0062,2.0,1.0,0.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,1.0,5.0,1.0,0.7144136876804069,1.0,3.0,,1.0,0.0
SBT003_0063,3.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,0.0,0.0,,,1.2274201518371546,1.0,2.0,,,0.0
SBT003_0064,3.0,2.0,0.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,,,1.1128955926782016,1.0,1.0,4.0,,0.0
SBT003_0065,4.0,1.0,1.0,9.0,3.0,4.0,3.0,3.0,5.0,5.0,0.0,1.0,4.0,1.0,0.703342433688254,1.0,2.0,,1.0,0.0
SBT003_0066,3.0,1.0,0.0,5.0,2.0,3.0,3.0,2.0,3.0,4.0,0.0,0.0,,,1.232719641061618,2.0,2.0,,,0.0
SBT003_0067,2.0,1.0,0.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0,0.0,0.0,,,1.3830365913943867,4.0,1.0,,,0.0
SBT003_0068,3.0,1.0,0.0,8.0,3.0,4.0,4.0,2.0,2.0,3.0,0.0,0.0,,,1.1914420424059795,1.0,2.0,,,1.0
SBT003_0069,4.0,3.0,1.0,4.0,3.0,3.0,3.0,3.0,2.0,2.0,0.0,0.0,,,0.7776266882193559,1.0,3.0,,,0.0
SBT003_0070,3.0,2.0,0.0,7.0,4.0,4.0,4.0,5.0,5.0,3.0,0.0,0.0,,,1.234751365173404,1.0,1.0,,,0.0
SBT003_0071,2.0,2.0,0.0,5.0,5.0,3.0,5.0,2.0,3.0,4.0,0.0,0.0,,,1.2402768550506753,1.0,2.0,,,0.0
SBT003_0072,3.0,3.0,0.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,3.0,1.0,0.5092912619550246,3.0,3.0,1.0,1.0,0.0
SBT003_0073,4.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.7234620782427355,1.0,3.0,,1.0,0.0
SBT003_0074,3.0,3.0,0.0,5.0,1.0,3.0,1.0,4.0,1.0,2.0,1.0,0.0,,,0.8619861167404963,1.0,2.0,5.0,,0.0
SBT003_0075,3.0,2.0,0.0,7.0,3.0,2.0,3.0,5.0,1.0,3.0,1.0,0.0,,,1.2544393117898596,1.0,2.0,4.0,,0.0
