respondent_id,age_band,children_u16,work_hours_band,wt_final,att_plan_ahead_5,att_spontaneous_5,att_budget_worry_5,att_price_tradeoffs_5,att_time_short_5,att_decision_fatigue_5,att_waste_concern_5,att_waste_difficult_5,att_digital_help_5,need_budget,need_effort,need_waste,meal_plan_days_7d,unplanned_topups_7d,waste_days_7d,over_budget_4w,planning_tool_28d,tool_satisfaction_5,shared_list_use_28d,support_budget,support_quick_meals,support_use_up,support_shared_plan,barrier_setup_time,barrier_rigid,barrier_cost,barrier_privacy,needs_block_status,barriers_block_status
SBT004_000001,2,1,0,0.6,1,5,4,3,5,5,5,5,1,0,1,1,1,4,4,0,0,,,1,1,1,0,0,0,1,1,1,1
SBT004_000002,2,1,2,0.6,3,3,3,4,5,5,5,5,5,0,1,1,4,98,0,1,1,4.0,1.0,1,1,1,0,1,1,0,1,1,1
SBT004_000003,1,1,1,0.4,4,2,5,3,3,1,3,3,5,0,0,0,6,2,1,0,0,,,1,1,1,1,0,1,0,0,1,1
SBT004_000004,1,1,0,0.4,5,2,2,1,2,2,5,2,5,0,0,0,7,2,0,97,1,97.0,1.0,1,0,0,1,0,0,0,1,1,1
SBT004_000005,3,0,2,2.0,2,3,5,3,3,3,4,3,3,0,0,0,4,1,1,0,0,,,1,1,1,0,0,0,0,1,1,1
SBT004_000006,3,0,0,2.0,4,2,5,5,3,2,4,3,3,1,0,0,4,1,1,1,1,5.0,0.0,1,1,1,0,1,1,1,1,1,1
SBT004_000007,2,1,1,0.6,2,5,2,3,3,3,1,1,1,0,0,0,5,1,97,0,1,4.0,0.0,0,1,0,0,98,98,98,98,1,98
SBT004_000008,1,0,2,1.6,1,5,2,2,5,5,5,5,5,0,1,1,3,3,3,1,0,,,1,0,1,1,1,1,0,1,1,1
SBT004_000009,2,1,2,0.6,5,1,3,2,5,3,2,3,5,0,0,0,7,1,3,0,2,5.0,1.0,0,1,1,0,0,0,1,0,1,1
SBT004_000010,3,0,2,2.0,1,3,5,5,4,4,5,4,1,1,1,1,5,2,0,1,3,4.0,0.0,1,1,1,0,1,1,1,1,1,1
SBT004_000011,3,0,0,2.0,2,4,4,4,3,3,2,4,5,1,0,0,4,97,0,1,2,5.0,0.0,0,0,1,1,1,1,1,1,1,1
SBT004_000012,1,1,1,0.4,5,1,98,2,2,2,3,2,5,99,0,0,5,1,0,97,2,5.0,1.0,0,0,0,1,1,0,0,1,1,1
SBT004_000013,3,1,0,0.666666666666667,5,4,4,5,5,5,4,4,5,1,1,1,6,3,1,1,2,3.0,1.0,1,1,0,1,0,0,1,1,1,1
SBT004_000014,1,1,2,0.4,2,5,3,3,5,5,4,5,5,0,1,1,3,2,0,0,0,,,0,1,0,0,1,0,1,0,1,1
SBT004_000015,3,0,2,2.0,3,1,1,2,3,1,4,1,4,0,0,0,7,0,0,1,0,,,1,1,1,0,0,0,1,1,1,1
SBT004_000016,2,1,1,0.6,3,4,2,1,4,2,4,4,1,0,0,1,5,3,3,0,2,4.0,0.0,1,1,1,1,1,0,0,0,1,1
SBT004_000017,4,0,0,1.04545454545455,5,1,5,5,1,3,3,2,1,1,0,0,5,1,1,0,0,,,97,97,97,97,1,0,1,0,97,1
SBT004_000018,4,0,2,1.04545454545455,1,5,1,1,5,4,2,4,98,0,1,0,1,2,5,0,0,,,0,0,1,1,1,1,0,0,1,1
SBT004_000019,3,0,2,2.0,2,4,3,4,3,4,3,5,1,0,0,0,98,0,0,1,1,97.0,1.0,1,1,1,1,0,1,1,0,1,1
SBT004_000020,1,1,2,0.4,2,5,5,3,5,3,4,5,1,0,0,1,3,4,4,1,0,,,1,1,0,1,1,1,0,0,1,1
SBT004_000021,4,0,0,1.04545454545455,4,3,5,5,1,4,5,5,2,1,0,1,7,1,0,1,0,,,1,1,0,1,0,1,0,1,1,1
SBT004_000022,1,1,2,0.4,1,5,5,4,5,5,97,5,2,1,1,99,1,4,6,1,2,3.0,1.0,1,1,1,1,1,1,1,1,1,1
SBT004_000023,4,1,0,0.5,4,2,2,3,4,3,4,5,1,0,0,1,5,1,0,1,0,,,0,1,1,0,1,1,0,1,1,1
SBT004_000024,2,1,2,0.6,1,3,3,2,5,5,2,97,4,0,1,99,4,5,2,1,1,4.0,1.0,0,0,0,0,1,1,1,1,1,1
SBT004_000025,2,1,2,0.6,4,3,4,3,5,2,3,4,5,0,0,0,4,2,1,1,0,,,0,0,0,0,1,0,1,0,1,1
SBT004_000026,1,0,2,1.6,1,4,4,2,5,5,4,3,4,0,1,0,2,2,1,1,0,,,1,1,1,0,1,1,0,0,1,1
SBT004_000027,2,1,1,0.6,4,3,1,2,2,5,5,4,2,0,0,1,5,0,1,1,2,2.0,1.0,0,1,1,0,0,0,0,1,1,1
SBT004_000028,4,0,0,1.04545454545455,3,97,3,3,3,2,5,3,5,0,0,0,6,0,1,97,0,,,0,0,1,0,0,1,1,0,1,1
SBT004_000029,3,1,0,0.666666666666667,4,3,3,5,3,4,4,5,5,0,0,1,2,1,0,1,2,5.0,1.0,1,1,0,0,1,1,0,0,1,1
SBT004_000030,2,1,0,0.6,2,2,3,2,2,4,2,1,97,0,0,0,6,3,0,1,2,5.0,1.0,0,1,0,0,0,1,0,0,1,1
SBT004_000031,1,1,1,0.4,2,3,4,3,5,4,4,5,1,0,1,1,6,0,3,0,0,,,1,1,1,1,97,97,97,97,1,97
SBT004_000032,4,0,2,1.04545454545455,2,5,3,3,4,4,3,5,4,0,1,0,5,2,5,0,2,5.0,1.0,1,1,1,0,1,0,1,1,1,1
SBT004_000033,1,0,2,1.6,1,5,2,2,4,3,4,5,4,0,0,1,2,2,1,0,0,,,1,1,0,0,1,0,0,0,1,1
SBT004_000034,1,0,2,1.6,3,2,4,4,5,4,4,4,4,1,1,1,5,0,2,1,0,,,1,1,1,1,0,1,1,0,1,1
SBT004_000035,2,1,2,0.6,4,2,5,3,98,3,4,3,5,0,99,0,5,1,0,1,2,4.0,1.0,0,0,0,1,0,0,0,1,1,1
