respondent_id,age_band,household_children,budget_band,meal_planning_role,weekday_time_pressure_5,current_planning_method,digital_confidence_5,plan_ahead_days_7,subscription_spend_band,household_size_band,design_stratum,wt_design,assigned_price_arm,assigned_price_gbp,postprice_responded,intent_5,value_5,fit_5,affordability_5,ease_5,trust_5,differentiation_5,certainty_5,primary_use_goal,anticipated_use_days_7,reason_not_commit,time_pressed_family
SBT006_0001,3,0,3,2,4,3,4,2,2,2,6,0.99756654222276,2,7,0,,,,,,,,,,,,0
SBT006_0002,1,0,2,1,4,1,4,4,1,2,5,1.24695817777845,1,4,1,5.0,4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,,0
SBT006_0003,2,1,2,2,4,4,3,4,3,4,2,0.816190807273167,3,10,1,4.0,5.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,5.0,,1
SBT006_0004,2,1,2,2,4,1,97,3,0,4,2,0.816190807273167,3,10,1,2.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,,2.0,1
SBT006_0005,1,1,3,2,3,4,4,4,2,3,3,0.74817490666707,2,7,0,,,,,,,,,,,,0
SBT006_0006,2,1,2,2,5,1,3,2,97,3,2,0.816190807273167,4,13,0,,,,,,,,,,,,1
SBT006_0007,4,0,2,1,5,1,5,6,0,2,5,1.24695817777845,4,13,1,97.0,3.0,4.0,4.0,5.0,5.0,2.0,,0.0,,,0
SBT006_0008,1,0,2,2,3,1,5,2,2,2,5,1.24695817777845,3,10,1,5.0,5.0,4.0,1.0,5.0,5.0,4.0,5.0,2.0,6.0,,0
SBT006_0009,1,0,1,1,5,2,4,3,2,2,4,1.49634981333414,4,13,1,1.0,2.0,2.0,2.0,4.0,3.0,4.0,5.0,2.0,,1.0,0
SBT006_0010,1,1,2,1,5,1,4,3,2,3,2,0.816190807273167,4,13,1,1.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,1.0,,97.0,1
SBT006_0011,1,1,1,1,4,1,3,3,2,3,1,0.725502939798371,4,13,1,2.0,2.0,5.0,1.0,4.0,3.0,1.0,5.0,1.0,,1.0,1
SBT006_0012,1,0,3,1,4,3,3,2,1,2,6,0.99756654222276,1,4,1,4.0,5.0,5.0,98.0,4.0,5.0,4.0,4.0,1.0,4.0,,0
SBT006_0013,2,0,2,1,2,1,3,4,2,2,5,1.24695817777845,4,13,1,1.0,2.0,2.0,3.0,4.0,1.0,2.0,5.0,0.0,,98.0,0
SBT006_0014,1,1,1,1,4,2,4,3,1,4,1,0.725502939798371,4,13,1,1.0,1.0,3.0,1.0,4.0,5.0,4.0,5.0,1.0,,5.0,1
