respondent_id,age_band,children_under18,work_pattern,online_grocery_pre,digital_confidence_pre,budget_pressure_pre,mealplan_days_pre,assignment,weight_base,followup_status,followup_attempts,receipt_log,receipt_count,recall_post,awareness_pre,awareness_post,consideration_pre,consideration_post,usage_pre,usage_post,meal_stress_pre,meal_stress_post,campaign_clear_post,campaign_relevant_post,campaign_trust_post,campaign_channel_post,info_search_post,usage_days_post,satisfaction_post,planning_confidence_post
SBT005_0001,1,1,1,0,2,5,1,1,1.1657532558,0,4,0,0,,0,,2,,0,,5,,,,,,,,,
SBT005_0002,1,0,1,0,3,3,2,0,1.1657532558,1,4,0,0,99,0,0,1,1,0,0,3,1,,,,,0,,,4
SBT005_0003,1,0,1,1,4,2,3,0,0.6557362064,1,1,1,2,1,1,1,3,3,0,0,3,4,4,5,5,2,1,,,3
SBT005_0004,1,0,1,1,5,3,4,0,0.6557362064,1,4,0,0,0,0,97,4,3,0,0,3,4,,,,,0,,,2
SBT005_0005,1,1,1,1,3,4,3,0,0.6557362064,0,4,1,1,,0,,1,,0,,4,,,,,,,,,
SBT005_0006,2,0,1,1,4,3,3,1,0.6801943153,1,4,1,3,1,0,1,1,1,0,0,2,3,5,5,5,1,0,,,5
SBT005_0007,2,0,1,1,3,3,3,1,0.6801943153,0,4,1,1,,0,,4,,0,,3,,,,,,,,,
SBT005_0008,1,0,2,1,4,5,3,0,0.6557362064,0,4,0,0,,0,,2,,97,,5,,,,,,,,,
SBT005_0009,1,0,3,0,1,4,0,1,1.1657532558,0,4,0,0,,0,,1,,0,,4,,,,,,,,,
SBT005_0010,3,0,2,0,2,2,6,0,1.6623641428,1,1,0,0,0,0,0,3,4,0,0,2,3,,,,,0,,,2
SBT005_0011,1,0,1,0,3,4,4,1,1.1657532558,1,3,1,3,0,0,1,4,4,0,0,3,4,,,,,0,,,4
SBT005_0012,1,1,1,0,3,5,3,1,1.1657532558,1,2,1,3,0,0,0,4,4,0,0,5,5,,,,,0,,,4
SBT005_0013,2,0,1,1,5,2,2,1,0.6801943153,1,1,1,2,1,0,1,3,3,0,0,4,3,5,5,5,2,1,,,4
SBT005_0014,1,0,2,1,4,3,97,1,0.6557362064,0,4,1,3,,0,,3,,0,,3,,,,,,,,,
SBT005_0015,1,1,1,1,5,2,6,1,0.6557362064,1,2,1,1,1,1,0,98,5,0,0,3,2,5,5,5,3,0,,,5
SBT005_0016,3,1,1,1,5,5,5,1,0.9404938575,0,4,1,1,,0,,2,,0,,5,,,,,,,,,
SBT005_0017,1,0,2,0,97,1,3,1,1.1657532558,1,1,1,3,1,1,1,4,97,0,1,1,2,3,3,4,4,0,4,4,4
SBT005_0018,3,0,2,1,3,5,3,0,0.9404938575,0,4,0,0,,1,,3,,1,,4,,,,,,,,,
SBT005_0019,1,0,1,1,4,2,3,1,0.6557362064,1,1,0,0,0,0,0,3,4,0,0,2,4,,,,,0,,,2
SBT005_0020,2,1,1,1,4,4,4,0,0.6801943153,1,2,0,0,1,0,0,5,5,0,0,5,4,3,3,4,2,0,,,3
SBT005_0021,2,1,1,1,4,1,3,1,0.6801943153,1,3,1,3,1,1,1,4,5,0,1,2,2,3,4,4,1,1,6,5,4
SBT005_0022,1,1,2,0,5,3,5,1,1.1657532558,1,2,1,2,1,0,1,4,4,0,98,2,3,4,5,4,1,1,,,5
SBT005_0023,1,0,1,1,5,4,4,0,0.6557362064,1,1,1,1,0,1,1,4,3,0,0,2,4,,,,,0,,,3
SBT005_0024,1,0,1,1,3,1,3,0,0.6557362064,0,4,0,0,,0,,1,,0,,2,,,,,,,,,
SBT005_0025,2,0,2,1,4,4,3,1,0.6801943153,0,4,1,3,,1,,3,,99,,4,,,,,,,,,
SBT005_0026,1,1,2,1,5,4,3,1,0.6557362064,0,4,1,2,,1,,2,,97,,5,,,,,,,,,
SBT005_0027,1,1,1,0,3,5,4,0,1.1657532558,1,3,1,2,1,1,1,4,4,0,0,5,5,3,1,2,2,0,,,2
SBT005_0028,1,0,2,1,5,3,5,1,0.6557362064,1,1,1,1,1,0,0,5,5,0,0,2,4,5,5,5,2,1,,,4
SBT005_0029,2,1,1,1,3,3,1,0,0.6801943153,1,3,1,1,1,0,1,3,3,0,0,4,2,4,3,4,2,0,,,4
SBT005_0030,1,1,3,1,97,4,2,1,0.6557362064,1,1,1,4,1,1,1,5,5,0,97,5,5,5,5,5,1,1,,,5
SBT005_0031,4,0,3,0,2,1,0,1,1.9875626711,0,4,0,0,,0,,1,,0,,3,,,,,,,,,
SBT005_0032,2,0,2,0,2,5,3,0,1.2188097233,1,1,0,0,0,98,0,4,4,0,0,5,5,,,,,0,,,2
SBT005_0033,2,0,1,1,5,5,2,0,0.6801943153,1,2,0,0,0,1,1,3,2,0,0,3,4,,,,,98,,,3
SBT005_0034,1,0,1,1,5,1,4,1,0.6557362064,1,4,1,2,1,0,0,2,3,0,0,2,1,5,4,5,3,1,,,5
SBT005_0035,3,0,3,1,5,4,5,0,0.9404938575,1,3,0,0,0,0,0,5,4,0,0,97,5,,,,,0,,,5
SBT005_0036,3,0,3,1,5,3,2,0,0.9404938575,1,1,0,0,1,1,1,5,5,1,1,4,3,5,5,4,2,0,5,5,4
SBT005_0037,1,0,1,1,5,3,5,1,0.6557362064,1,2,1,3,1,0,1,3,4,0,0,2,2,4,5,5,3,1,,,5
SBT005_0038,2,1,1,0,4,5,4,1,1.2188097233,1,1,0,0,1,0,1,2,3,0,0,99,5,3,4,4,1,1,,,2
SBT005_0039,1,0,2,0,1,2,2,1,1.1657532558,0,4,0,0,,0,,1,,0,,2,,,,,,,,,
SBT005_0040,1,1,3,0,97,3,6,1,1.1657532558,1,2,1,1,1,0,0,4,4,0,0,4,2,4,4,4,2,1,,,2
SBT005_0041,2,1,1,1,1,4,1,1,0.6801943153,1,4,0,0,0,0,0,1,1,0,0,5,4,,,,,0,,,1
SBT005_0042,2,1,2,1,4,5,2,1,0.6801943153,1,2,1,1,0,0,1,4,4,0,0,5,4,,,,,0,,,4
SBT005_0043,1,1,3,1,5,5,7,1,0.6557362064,1,2,1,2,1,0,1,5,5,0,0,3,5,5,5,5,2,1,,,4
SBT005_0044,4,0,3,1,5,4,3,1,1.0474992456,1,1,1,3,97,1,1,2,2,0,0,4,3,,,,,0,,,4
SBT005_0045,3,0,1,1,5,2,4,0,0.9404938575,1,3,0,0,0,0,0,4,5,0,0,1,4,,,,,0,,,5
SBT005_0046,1,0,1,1,5,2,5,1,0.6557362064,1,2,1,2,1,0,0,3,4,0,0,1,1,4,3,5,2,1,,,5
SBT005_0047,1,0,2,1,2,4,1,0,0.6557362064,1,4,0,0,0,1,1,3,4,0,0,97,5,,,,,1,,,4
SBT005_0048,2,1,2,1,5,4,2,1,0.6801943153,1,3,1,2,1,1,1,5,5,0,0,97,4,4,4,5,1,0,,,3
