respondent_id,tenure_band,plan_tier,legacy_plan,nps_0_10,overall_satisfaction_5,renewal_intent_5,reliability_5,value_5,ease_5,trust_5,outage_90d,support_contact_90d,support_quality_5,resolved_first_contact,wt_final,region,household_type,outage_severity_5,support_channel,formal_complaint_90d
SBT003_0001,6+y,Essential,1,5,1,2,1,1,2,1,1,0,,,1.1537784193576548,England,Adults only,5.0,Not asked,0
SBT003_0002,<1y,Standard,0,7,2,3,3,4,3,3,0,0,,,1.2233945364350016,England,Adults only,,Not asked,0
SBT003_0003,6+y,Standard,1,0,1,2,1,4,1,1,0,0,,,1.1793624593134335,England,With children,,Not asked,0
SBT003_0004,6+y,Standard,0,9,3,3,4,4,4,3,0,0,,,1.2198056712143885,England,Adults only,,Not asked,0
SBT003_0005,6+y,Standard,0,8,3,2,4,2,2,3,0,0,,,1.182771016349327,England,With children,,Not asked,0
SBT003_0006,6+y,Standard,1,2,1,1,1,2,1,1,0,0,,,1.0662233985446807,Wales,Single adult,,Not asked,0
SBT003_0007,6+y,Standard,1,5,3,4,4,2,2,4,1,1,5.0,1.0,0.6923087964179544,Wales,With children,2.0,Phone,0
SBT003_0008,1-2y,Standard,0,5,2,2,2,1,1,1,0,0,,,1.2541535198233722,England,Single adult,,Not asked,0
SBT003_0009,6+y,Essential,1,4,2,2,2,1,3,2,0,0,,,1.2431102539272716,England,With children,,Not asked,0
SBT003_0010,<1y,Essential,0,6,3,2,2,3,2,2,0,0,,,1.3284091955385449,England,Adults only,,Not asked,0
SBT003_0011,<1y,Essential,0,4,1,1,1,1,1,1,0,1,1.0,0.0,0.6812790378099168,England,With children,,Phone,0
SBT003_0012,6+y,Standard,1,8,4,4,4,3,4,4,0,0,,,1.2742005374872887,England,Adults only,,Not asked,0
SBT003_0013,3-5y,Essential,0,3,1,2,1,1,1,1,0,0,,,1.3668774440309888,England,Adults only,,Not asked,0
SBT003_0014,<1y,Essential,0,5,4,4,5,4,4,4,0,0,,,1.16400939446317,England,Adults only,,Not asked,0
SBT003_0015,6+y,Essential,0,4,3,2,1,1,3,2,1,1,4.0,0.0,0.6244506594596652,England,Adults only,5.0,Phone,1
